À; [0]; À; [0]
l'ère; [0, 1, 2, 3, 4]; l'ère; [0, 1, 2, 3, 4]
de; [0, 1]; de; [0, 1]
la; [0, 1]; la; [0, 1]
modernité; [0, 1, 2, 3, 4, 5, 6, 7, 8]; modernité; [0, 1, 2, 3, 4, 5, 6, 7, 8]
l'importance; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; l'importance; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
des; [0, 1, 2]; des; [0, 1, 2]
accents; [0, 1, 2, 3, 4, 5, 6]; accents; [0, 1, 2, 3, 4, 5, 6]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
la; [0, 1]; la; [0, 1]
langue; [0, 1, 2, 3, 4, 5]; langue; [0, 1, 2, 3, 4, 5]
française; [0, 1, 2, 3, 4, 5, 6, 7, 8]; française; [0, 1, 2, 3, 4, 5, 6, 7, 8]
est; [0, 1, 2]; est; [0, 1, 2]
indéniable; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; indéniable; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Ç'est; [0, 1, 2, 3, 4]; Ç'est; [0, 1, 2, 3, 4]
essentiel; [0, 1, 2, 3, 4, 5, 6, 7, 8]; essentiel; [0, 1, 2, 3, 4, 5, 6, 7, 8]
pour; [0, 1, 2, 3]; pour; [0, 1, 2, 3]
bien; [0, 1, 2, 3]; bien; [0, 1, 2, 3]
écrire; [0, 1, 2, 3, 4, 5]; écrire; [0, 1, 2, 3, 4, 5]
et; [0, 1]; et; [0, 1]
comprendre; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; comprendre; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
Écrire; [0, 1, 2, 3, 4, 5]; Écrire; [0, 1, 2, 3, 4, 5]
correctement; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; correctement; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
n’est; [0]; n; [0]
pas; [0, 1, 2]; pas; [0, 1, 2]
facile; [0, 1, 2, 3, 4, 5]; facile; [0, 1, 2, 3, 4, 5]
mais; [0, 1, 2, 3]; mais; [0, 1, 2, 3]
c’est; [0]; c; [0]
nécessaire; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]; nécessaire; [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
pour; [0, 1, 2, 3]; pour; [0, 1, 2, 3]
exprimer; [0, 1, 2, 3, 4, 5, 6, 7]; exprimer; [0, 1, 2, 3, 4, 5, 6, 7]
la; [0, 1]; la; [0, 1]
diversité; [0, 1, 2, 3, 4, 5, 6, 7, 8]; diversité; [0, 1, 2, 3, 4, 5, 6, 7, 8]
des; [0, 1, 2]; des; [0, 1, 2]
sons; [0, 1, 2, 3]; sons; [0, 1, 2, 3]
par; [0, 1, 2]; par; [0, 1, 2]
exemple; [0, 1, 2, 3, 4, 5, 6]; exemple; [0, 1, 2, 3, 4, 5, 6]
l'accent; [0, 1, 2, 3, 4, 5, 6, 7]; l'accent; [0, 1, 2, 3, 4, 5, 6, 7]
aigu; [0, 1, 2, 3]; aigu; [0, 1, 2, 3]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
école; [0, 1, 2, 3, 4]; école; [0, 1, 2, 3, 4]
et; [0, 1]; et; [0, 1]
l'accent; [0, 1, 2, 3, 4, 5, 6, 7]; l'accent; [0, 1, 2, 3, 4, 5, 6, 7]
grave; [0, 1, 2, 3, 4]; grave; [0, 1, 2, 3, 4]
dans; [0, 1, 2, 3]; dans; [0, 1, 2, 3]
élève; [0, 1, 2, 3, 4]; élève; [0, 1, 2, 3, 4]
marquent; [0, 1, 2, 3, 4, 5, 6, 7]; marquent; [0, 1, 2, 3, 4, 5, 6, 7]
une; [0, 1, 2]; une; [0, 1, 2]
